Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
173624;38896;1296;80;123;110;16;Савёловский;LINESTRING (37.564887 55.802695, 37.565342 55.802158);POINT (37.5651 55.8024);myData.biz;55.802695;37.564887;55.802158;37.565342
173625;21733;724;44;68;61;9;Савёловский;LINESTRING (37.571127 55.799876, 37.571592 55.799917);POINT (37.5714 55.7999);myData.biz;55.799876;37.571127;55.799917;37.571592
173626;43;1;0;0;0;0;Савёловский;LINESTRING (37.568812 55.798831, 37.569518 55.798873);POINT (37.5692 55.7989);myData.biz;55.798831;37.568812;55.798873;37.569518
173629;32;1;0;0;0;0;Савёловский;LINESTRING (37.570338 55.799411, 37.570378 55.799159);POINT (37.5704 55.7993);myData.biz;55.799411;37.570338;55.799159;37.570378
173642;47;1;0;0;0;0;Савёловский;LINESTRING (37.563687 55.804208, 37.563653 55.804237);POINT (37.5637 55.8042);myData.biz;55.804208;37.563687;55.804237;37.563653
173643;2347;78;4;7;6;1;Савёловский;LINESTRING (37.574253 55.799332, 37.574642 55.799362);POINT (37.5744 55.7993);myData.biz;55.799332;37.574253;55.799362;37.574642
173683;855;28;1;2;2;0;Савёловский;LINESTRING (37.577573 55.80495, 37.577263 55.805461);POINT (37.5774 55.8052);myData.biz;55.80495;37.577573;55.805461;37.577263
173688;18049;601;37;57;51;7;Савёловский;LINESTRING (37.583787 55.794016, 37.583732 55.79428);POINT (37.5838 55.7941);myData.biz;55.794016;37.583787;55.79428;37.583732
173690;144;4;0;0;0;0;Савёловский;LINESTRING (37.580743 55.797364, 37.580303 55.797388);POINT (37.5805 55.7974);myData.biz;55.797364;37.580743;55.797388;37.580303
173712;407;13;0;1;1;0;Савёловский;LINESTRING (37.569671 55.805776, 37.569747 55.805737);POINT (37.5697 55.8058);myData.biz;55.805776;37.569671;55.805737;37.569747
173713;75058;2501;155;237;212;32;Савёловский;LINESTRING (37.569052 55.805507, 37.569164 55.805358);POINT (37.5691 55.8054);myData.biz;55.805507;37.569052;55.805358;37.569164
173714;111;3;0;0;0;0;Савёловский;LINESTRING (37.569655 55.805647, 37.569801 55.805518);POINT (37.5697 55.8056);myData.biz;55.805647;37.569655;55.805518;37.569801
173789;3693;123;7;11;10;1;Савёловский;LINESTRING (37.575713 55.798702, 37.575545 55.798694);POINT (37.5756 55.7987);myData.biz;55.798702;37.575713;55.798694;37.575545
173790;168;5;0;0;0;0;Савёловский;LINESTRING (37.575455 55.800698, 37.572635 55.800457);POINT (37.574 55.8006);myData.biz;55.800698;37.575455;55.800457;37.572635
173791;35972;1199;74;113;101;15;Савёловский;LINESTRING (37.571911 55.799945, 37.571592 55.799917);POINT (37.5718 55.7999);myData.biz;55.799945;37.571911;55.799917;37.571592
173792;12610;420;26;39;35;5;Савёловский;LINESTRING (37.578575 55.807225, 37.578474 55.80727);POINT (37.5785 55.8072);myData.biz;55.807225;37.578575;55.80727;37.578474
173793;12610;420;26;39;35;5;Савёловский;LINESTRING (37.578474 55.80727, 37.578376 55.807427);POINT (37.5784 55.8073);myData.biz;55.80727;37.578474;55.807427;37.578376
173811;13628;454;28;43;38;5;Савёловский;LINESTRING (37.575084 55.795209, 37.575131 55.795397);POINT (37.5751 55.7953);myData.biz;55.795209;37.575084;55.795397;37.575131
174008;149;4;0;0;0;0;Савёловский;LINESTRING (37.580303 55.797388, 37.581466 55.797325);POINT (37.5809 55.7974);myData.biz;55.797388;37.580303;55.797325;37.581466
174009;173;5;0;0;0;0;Савёловский;LINESTRING (37.579022 55.797421, 37.580641 55.79737);POINT (37.5798 55.7974);myData.biz;55.797421;37.579022;55.79737;37.580641
174010;7088;236;14;22;20;3;Савёловский;LINESTRING (37.57764 55.797961, 37.578102 55.797987);POINT (37.5779 55.798);myData.biz;55.797961;37.57764;55.797987;37.578102
174011;3238;107;6;10;9;1;Савёловский;LINESTRING (37.562271 55.802158, 37.562689 55.801731);POINT (37.5625 55.8019);myData.biz;55.802158;37.562271;55.801731;37.562689
