Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
266519;6666;222;13;21;18;2;Южное Медведково;LINESTRING (37.640866 55.867385, 37.641082 55.867273);POINT (37.641 55.8673);myData.biz;55.867385;37.640866;55.867273;37.641082
266520;27179;905;56;85;76;11;Южное Медведково;LINESTRING (37.641082 55.867273, 37.64079 55.867079);POINT (37.6409 55.8672);myData.biz;55.867273;37.641082;55.867079;37.64079
266521;25421;847;52;80;71;11;Южное Медведково;LINESTRING (37.64079 55.867079, 37.640656 55.867046);POINT (37.6407 55.8671);myData.biz;55.867079;37.64079;55.867046;37.640656
266522;36172;1205;74;114;102;15;Южное Медведково;LINESTRING (37.640656 55.867046, 37.640471 55.866999);POINT (37.6406 55.867);myData.biz;55.867046;37.640656;55.866999;37.640471
266523;36172;1205;74;114;102;15;Южное Медведково;LINESTRING (37.640471 55.866999, 37.640563 55.866894);POINT (37.6405 55.8669);myData.biz;55.866999;37.640471;55.866894;37.640563
266524;19388;646;40;61;54;8;Южное Медведково;LINESTRING (37.640563 55.866894, 37.640639 55.866807);POINT (37.6406 55.8669);myData.biz;55.866894;37.640563;55.866807;37.640639
266525;1865;62;3;5;5;0;Южное Медведково;LINESTRING (37.640639 55.866807, 37.640275 55.866787);POINT (37.6405 55.8668);myData.biz;55.866807;37.640639;55.866787;37.640275
266526;1865;62;3;5;5;0;Южное Медведково;LINESTRING (37.640275 55.866787, 37.639984 55.866759);POINT (37.6401 55.8668);myData.biz;55.866787;37.640275;55.866759;37.639984
266527;1865;62;3;5;5;0;Южное Медведково;LINESTRING (37.639984 55.866759, 37.639627 55.866546);POINT (37.6398 55.8667);myData.biz;55.866759;37.639984;55.866546;37.639627
266528;1865;62;3;5;5;0;Южное Медведково;LINESTRING (37.639627 55.866546, 37.639204 55.866353);POINT (37.6394 55.8664);myData.biz;55.866546;37.639627;55.866353;37.639204
266529;368;12;0;1;1;0;Южное Медведково;LINESTRING (37.642241 55.870609, 37.642714 55.870653);POINT (37.6425 55.8706);myData.biz;55.870609;37.642241;55.870653;37.642714
266530;26603;886;55;84;75;11;Южное Медведково;LINESTRING (37.642714 55.870653, 37.64324 55.870703);POINT (37.643 55.8707);myData.biz;55.870653;37.642714;55.870703;37.64324
266531;25714;857;53;81;72;11;Южное Медведково;LINESTRING (37.64324 55.870703, 37.644166 55.870791);POINT (37.6437 55.8707);myData.biz;55.870703;37.64324;55.870791;37.644166
266532;34668;1155;71;109;98;15;Южное Медведково;LINESTRING (37.644166 55.870791, 37.644631 55.870835);POINT (37.6444 55.8708);myData.biz;55.870791;37.644166;55.870835;37.644631
266533;46516;1550;96;147;131;20;Южное Медведково;LINESTRING (37.644631 55.870835, 37.644827 55.870854);POINT (37.6447 55.8708);myData.biz;55.870835;37.644631;55.870854;37.644827
266534;46516;1550;96;147;131;20;Южное Медведково;LINESTRING (37.644827 55.870854, 37.644896 55.870993);POINT (37.6449 55.8709);myData.biz;55.870854;37.644827;55.870993;37.644896
266535;28105;936;58;88;79;12;Южное Медведково;LINESTRING (37.644896 55.870993, 37.645326 55.871344);POINT (37.6451 55.8712);myData.biz;55.870993;37.644896;55.871344;37.645326
266536;28105;936;58;88;79;12;Южное Медведково;LINESTRING (37.645326 55.871344, 37.645743 55.871474);POINT (37.6455 55.8714);myData.biz;55.871344;37.645326;55.871474;37.645743
266537;80428;2680;166;254;227;34;Южное Медведково;LINESTRING (37.645743 55.871474, 37.646752 55.871561);POINT (37.6462 55.8715);myData.biz;55.871474;37.645743;55.871561;37.646752
266538;126280;4209;261;399;357;54;Южное Медведково;LINESTRING (37.646752 55.871561, 37.646714 55.871714);POINT (37.6467 55.8716);myData.biz;55.871561;37.646752;55.871714;37.646714
266539;112759;3758;233;357;319;48;Южное Медведково;LINESTRING (37.646714 55.871714, 37.646937 55.871731);POINT (37.6468 55.8717);myData.biz;55.871714;37.646714;55.871731;37.646937
266540;116200;3873;240;367;329;50;Южное Медведково;LINESTRING (37.646937 55.871731, 37.646922 55.871844);POINT (37.6469 55.8718);myData.biz;55.871731;37.646937;55.871844;37.646922
266541;116200;3873;240;367;329;50;Южное Медведково;LINESTRING (37.646922 55.871844, 37.646907 55.871944);POINT (37.6469 55.8719);myData.biz;55.871844;37.646922;55.871944;37.646907
266542;131457;4381;272;416;372;56;Южное Медведково;LINESTRING (37.646907 55.871944, 37.646881 55.872074);POINT (37.6469 55.872);myData.biz;55.871944;37.646907;55.872074;37.646881
266543;76157;2538;157;241;215;32;Южное Медведково;LINESTRING (37.646881 55.872074, 37.646859 55.872344);POINT (37.6469 55.8722);myData.biz;55.872074;37.646881;55.872344;37.646859
266544;1136;37;2;3;3;0;Южное Медведково;LINESTRING (37.643975 55.876647, 37.644161 55.876678);POINT (37.6441 55.8767);myData.biz;55.876647;37.643975;55.876678;37.644161
266545;1136;37;2;3;3;0;Южное Медведково;LINESTRING (37.644161 55.876678, 37.644312 55.876676);POINT (37.6442 55.8767);myData.biz;55.876678;37.644161;55.876676;37.644312
266546;8582;286;17;27;24;3;Южное Медведково;LINESTRING (37.644312 55.876676, 37.644522 55.876638);POINT (37.6444 55.8767);myData.biz;55.876676;37.644312;55.876638;37.644522
266547;3822;127;7;12;10;1;Южное Медведково;LINESTRING (37.644522 55.876638, 37.6449 55.876476);POINT (37.6447 55.8766);myData.biz;55.876638;37.644522;55.876476;37.6449
266548;25578;852;52;80;72;11;Южное Медведково;LINESTRING (37.6449 55.876476, 37.645003 55.876158);POINT (37.645 55.8763);myData.biz;55.876476;37.6449;55.876158;37.645003
266549;20988;699;43;66;59;9;Южное Медведково;LINESTRING (37.645003 55.876158, 37.645213 55.875514);POINT (37.6451 55.8758);myData.biz;55.876158;37.645003;55.875514;37.645213
266550;36805;1226;76;116;104;15;Южное Медведково;LINESTRING (37.645213 55.875514, 37.64559 55.875543);POINT (37.6454 55.8755);myData.biz;55.875514;37.645213;55.875543;37.64559
266551;36805;1226;76;116;104;15;Южное Медведково;LINESTRING (37.64559 55.875543, 37.645724 55.87509);POINT (37.6457 55.8753);myData.biz;55.875543;37.64559;55.87509;37.645724
266552;22683;756;46;71;64;9;Южное Медведково;LINESTRING (37.645724 55.87509, 37.646018 55.87512);POINT (37.6459 55.8751);myData.biz;55.87509;37.645724;55.87512;37.646018
266553;45443;1514;94;143;128;19;Южное Медведково;LINESTRING (37.646018 55.87512, 37.646034 55.875065);POINT (37.646 55.8751);myData.biz;55.87512;37.646018;55.875065;37.646034
